CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary
643;France;Male;45;5;0;1;1;0;1425135
671;France;Male;45;2;10637685;1;0;1;15826462
695;France;Male;46;7;4951255;1;1;0;13300734
671;Germany;Male;45;6;9956422;1;1;1;10887245
670;France;Male;37;4;17055791;2;1;0;19825288
585;France;Female;67;5;11397897;2;0;1;9314611
523;Spain;Male;34;7;0;2;1;0;6203006
587;Spain;Female;34;1;0;2;1;1;9793268
696;Spain;Male;28;8;0;1;0;0;17671347
766;Spain;Male;41;0;0;2;0;1;3428323
727;France;Male;34;10;0;2;1;1;19863734
732;Germany;Male;42;9;10874808;2;1;1;6532311
726;Spain;Female;48;6;9990619;1;1;0;6432324
557;France;Female;32;6;18468641;2;1;0;1495644
498;France;Male;34;2;0;2;1;1;14852824
651;France;Male;36;7;0;2;1;0;1389831
733;Germany;Male;34;3;10033796;3;1;0;4855919
712;Germany;Male;28;4;14560544;1;0;1;9388353
756;France;Male;62;3;0;1;1;1;1119904
646;France;Male;35;6;8402686;1;0;1;16425569
714;France;Male;46;1;0;1;1;0;15216779
799;France;Female;22;8;17418598;2;0;1;19263385
747;Spain;Female;41;5;9452117;2;1;0;19492686
616;Spain;Female;36;6;13231171;1;0;0;1546284
687;France;Male;35;8;0;2;1;0;1033405
438;Germany;Male;31;8;7839869;1;1;0;4493701
652;France;Female;80;4;0;2;1;1;18860307
744;Spain;Male;36;2;15380444;1;1;1;8721333
706;Spain;Male;42;9;0;2;1;1;2871434
628;Spain;Female;22;3;0;1;1;0;8542628
525;Spain;Female;57;2;14596533;1;1;1;6444836
680;France;Female;30;8;14144175;1;1;1;1627897
763;France;Female;31;4;0;2;0;0;5040472
734;France;Male;30;3;0;2;1;0;10764025
716;France;Male;35;4;14442887;1;1;0;13413265
644;France;Female;46;9;9544127;1;1;0;10876105
664;Germany;Male;26;7;11624414;2;1;1;9514514
667;Spain;Female;40;1;14650207;1;1;0;1916289
649;France;Male;33;2;0;2;1;0;201098
718;France;Female;25;7;0;2;1;0;3038012
539;France;Male;30;0;0;2;1;0;16097966
443;Germany;Female;29;9;9902761;2;1;0;109404
687;Spain;Female;39;2;0;3;0;0;1881506
705;Germany;Male;44;3;10593496;1;1;0;8246369
730;Spain;Male;62;2;0;2;1;1;18648995
709;Spain;Female;45;2;0;2;0;1;16292265
712;Germany;Female;29;7;14719907;1;1;1;849324
556;Spain;Male;38;8;0;2;0;0;41741
751;Spain;Male;52;8;0;2;0;1;17929185
850;France;Male;38;1;0;2;1;1;8000665
487;Germany;Female;61;5;11036803;1;0;0;1138445
643;France;Female;46;6;0;2;0;0;10678159
586;France;Female;38;2;0;2;1;0;8716846
535;Germany;Male;40;7;1117565;1;1;0;812832
619;Germany;Male;57;3;13794639;1;1;1;7246799
627;Germany;Female;30;4;7987102;2;1;0;12982689
516;France;Male;35;10;10408859;2;0;0;119666
464;Germany;Female;42;3;8567925;1;1;1;16410474
790;France;Female;31;9;0;2;1;0;8412675
534;France;Female;34;7;12155158;2;1;1;70179
494;Germany;Female;38;7;17493764;1;1;0;4008432
592;Spain;Male;31;7;1100711;1;0;0;4392136
506;France;Male;36;5;0;2;1;0;16425335
711;France;Male;38;3;0;2;1;0;6848751
514;Germany;Male;43;1;9555631;1;0;1;19927398
637;Spain;Male;37;8;0;1;1;1;18606236
468;Germany;Male;29;1;11168198;2;1;1;19571116
816;Germany;Female;38;5;13087875;3;1;0;7190577
785;France;Male;28;8;0;2;1;0;7723127
788;Spain;Male;34;6;15647862;1;0;1;18119676
730;France;Female;35;0;15547055;1;1;1;5371828
542;France;Male;39;3;13509677;1;1;1;1435343
591;Spain;Male;29;1;9754124;1;1;1;19635617
806;France;Male;40;5;8061393;1;1;1;14283864
555;Spain;Male;32;4;0;2;1;1;5440579
632;Germany;Female;38;6;8656976;2;1;0;9809091
793;Spain;Male;38;9;0;2;1;0;8822502
468;France;Female;56;10;0;3;0;1;6225687
779;Germany;Male;37;7;12009252;2;1;0;13592572
698;France;Male;48;4;10123824;2;0;1;17781587
661;France;Male;48;3;12032054;1;0;0;9646325
572;Germany;Female;48;3;15282799;1;1;0;3841179
519;Spain;Female;57;2;11903535;2;1;1;2987179
729;France;Male;32;6;9369442;1;1;1;7991913
550;France;Female;40;7;11435495;1;1;0;5401893
842;Spain;Female;44;2;11265208;2;1;0;12664498
574;Germany;Male;33;3;12983467;1;1;0;19313142
438;Spain;Female;54;2;0;1;0;0;19176307
546;France;Female;27;8;0;2;1;1;148581
593;France;Female;41;6;0;1;1;0;6517066
701;Spain;Male;36;8;0;2;1;0;16916146
647;Germany;Female;51;1;11974177;2;0;0;5495451
760;France;Female;51;2;10094671;1;0;0;1796148
713;Germany;Female;38;7;14460622;1;1;1;5659436
779;Spain;Female;26;4;17431813;2;0;1;3829621
683;Germany;Female;57;5;16244869;1;0;0;922178
601;France;Female;43;8;0;3;0;1;11091615
605;France;Female;64;2;1295557;1;1;1;1360179
688;Germany;Male;26;8;14613339;1;1;1;17529676
678;Germany;Male;36;3;14574767;2;0;1;8956674
477;Spain;Female;48;2;12912064;1;0;1;2647579
427;France;Male;29;1;14132556;1;1;1;938393
752;France;Male;49;2;7865384;1;1;0;76986
583;Germany;Female;54;6;11598886;1;1;0;5755398
752;Spain;Male;48;5;11606008;1;1;0;15661838
583;France;Female;27;1;12540658;1;1;1;11078442
819;France;Female;39;9;13310292;1;1;0;2704646
652;France;Male;38;6;0;2;1;1;14570022
498;Germany;Male;25;8;12170273;1;1;1;13221049
751;France;Female;30;6;0;2;1;0;157661
694;Spain;Male;57;8;11632607;1;1;1;11770465
503;France;Male;29;3;0;2;1;1;14395499
715;France;Female;31;2;11221214;2;1;1;18160072
625;France;Female;51;7;13629497;1;1;0;3886746
767;France;Male;43;1;7640885;2;1;0;7783763
445;Spain;Male;62;1;6411938;1;1;1;7656964
543;Germany;Female;57;1;10613833;2;1;1;12065732
742;Germany;Male;33;0;18165651;1;1;1;10766791
620;France;Male;42;4;0;2;1;0;623231
632;Spain;Male;38;1;12059921;1;1;0;9281686
786;France;Male;34;9;0;2;1;0;14451719
669;France;Male;23;1;0;2;0;0;6608883
591;France;Male;24;6;147360;1;1;1;2531082
525;France;Male;36;2;1146284;1;0;1;16829006
725;France;Male;46;6;0;2;1;0;16176738
650;France;Male;60;8;0;2;1;1;10292576
727;Spain;Male;38;2;6227699;1;1;1;5928079
460;Germany;Male;46;4;12755997;2;1;1;1269525
490;France;Female;35;7;10774903;1;1;1;393737
664;Germany;Female;36;2;12716078;2;1;0;7814075
693;France;Female;35;5;12415109;1;1;0;8870514
767;France;Male;36;3;1391802;1;0;0;12388019
636;Germany;Male;49;6;11359974;2;1;0;15888709
648;France;Male;33;7;134944;1;1;1;11703638
754;France;Male;28;8;0;2;1;1;5261562
639;France;Male;27;8;0;2;1;0;19224735
774;France;Female;28;1;7126402;2;0;1;6875957
747;Germany;Male;58;7;11631357;1;1;1;19069635
698;France;Male;36;2;8227535;2;1;1;9324926
611;France;Male;49;3;0;2;1;1;14291754
743;Germany;Female;34;1;13173688;1;1;1;10854321
683;France;Female;35;6;18753066;2;1;1;3797636
601;Germany;Female;42;9;13363616;1;0;1;10331574
671;Germany;Female;44;0;8474503;2;0;1;3467398
793;France;Female;33;0;0;1;0;0;17554402
657;France;Female;37;6;958456;1;1;0;12221823
681;Spain;Male;65;7;1347147;2;0;1;19041981
497;Spain;Male;27;9;7526316;1;1;1;16482504
732;Spain;Female;69;9;13745343;1;0;1;11093224
680;France;Female;47;5;0;2;1;1;17984333
708;Spain;Female;41;5;0;1;0;1;15700399
773;Spain;Female;41;5;0;1;1;0;282669
714;Germany;Male;21;6;8640252;2;0;0;2733059
548;France;Female;32;2;17244877;1;1;0;18808377
594;France;Male;38;4;0;2;0;0;18688404
535;France;Female;40;8;0;1;1;1;2768977
561;France;Male;28;7;0;2;1;0;779701
645;France;Female;38;5;1014303;2;0;1;440032
502;Germany;Female;32;1;17334083;1;0;1;12276395
518;France;Female;45;9;10552565;2;1;1;7341829
585;France;Male;42;2;0;2;1;1;1865777
542;France;Female;43;8;14561837;1;0;1;1035074
435;Germany;Male;32;2;5701706;2;1;1;590711
728;Germany;Male;32;5;618255;1;1;1;15612493
718;France;Male;35;8;0;2;1;0;9482085
599;France;Male;58;4;0;1;0;0;17640715
672;France;Female;45;9;0;1;1;1;9202769
806;Spain;Male;25;7;0;2;1;0;184619
545;Spain;Female;32;4;0;1;1;0;947392
784;Spain;Male;35;3;0;2;0;0;8148364
729;France;Male;44;5;0;2;0;1;920054
609;Spain;Male;61;1;0;1;1;0;2244785
520;Germany;Male;61;8;13380229;2;1;1;9030401
661;Spain;Male;39;6;13262898;1;0;0;3881267
708;Germany;Female;42;8;19239052;2;1;0;82336
775;France;Male;52;8;10992261;1;1;1;9682332
724;France;Female;37;10;6859856;1;1;0;15786282
675;Germany;Female;29;8;12132642;1;1;0;13345752
635;France;Female;48;8;13079633;2;1;1;432503
571;Germany;Female;66;9;11157701;1;0;1;1892719
706;France;Female;44;4;12960599;1;0;0;6986549
771;Spain;Female;67;8;0;2;1;1;512198
642;Spain;Male;32;7;1004338;1;1;1;3976859
683;Germany;Female;43;4;11588804;1;1;1;11734919
635;Germany;Male;43;5;7899275;2;0;0;15326531
750;Spain;Female;38;7;9725741;2;0;1;17988304
750;Spain;Female;36;8;11294007;1;0;1;985581
520;France;Female;38;4;0;2;1;0;5638863
550;France;Female;46;7;0;2;1;0;13059035
614;Germany;Female;35;6;12810028;1;0;0;6945424
773;France;Male;25;1;12453278;2;0;1;1172357
551;Germany;Male;31;9;8229382;2;1;1;9156525
566;France;Male;36;1;14212091;1;1;0;7961637
659;Spain;Male;31;7;14962088;2;1;1;10453351
615;France;Female;35;2;9744002;2;1;1;1398161
811;Spain;Male;44;3;0;2;0;1;7843973
548;France;Female;29;4;0;2;0;1;4867318
778;Germany;Male;41;7;13970631;1;1;0;6333719
633;France;Male;31;1;0;1;1;0;4860671
625;France;Male;49;6;1734349;1;1;0;16558093
547;France;Female;48;1;17938074;2;0;1;692631
642;France;Male;32;3;0;2;1;1;8869883
670;France;Female;38;4;11962454;2;1;1;11047212
807;Spain;Female;42;1;0;1;1;0;1650066
726;France;Female;48;4;0;1;1;0;11402006
682;France;Male;30;4;0;1;0;1;16146531
545;Spain;Female;74;3;0;2;1;1;16132673
581;France;Female;47;1;12294914;1;0;0;18025168
850;France;Male;38;7;8029398;1;0;0;12655574
710;Spain;Female;38;4;0;2;1;1;13639088
844;France;Male;40;7;11334814;1;1;0;3190431
686;Germany;Female;47;5;17093594;1;1;0;17317979
503;Spain;Male;37;6;0;2;0;0;13650686
702;Spain;Male;39;8;0;2;1;0;9965413
678;France;Female;32;5;0;2;1;0;9028447
796;France;Male;24;8;0;2;1;0;6134937
803;France;Male;42;5;0;1;1;0;19646683
651;France;Male;40;4;0;2;1;1;14771583
543;France;Male;36;6;0;2;1;0;17672828
790;France;Female;26;4;14158171;2;0;0;9830927
589;France;Male;28;7;0;2;1;0;15164596
713;France;Female;52;0;18589154;1;1;1;4636957
690;France;Female;42;3;9257814;2;0;0;708106
731;Germany;Female;21;8;13231206;1;1;0;10666346
731;France;Female;47;1;11541419;3;0;0;19173467
848;Germany;Male;31;4;9001845;2;1;0;19313298
769;France;Female;27;2;0;1;1;1;5787605
655;France;Male;38;4;0;2;0;0;11052771
700;Spain;Male;54;1;7941567;1;0;1;13973554
755;France;Male;41;6;10481741;1;1;0;12601358
693;Germany;Male;40;0;12071173;1;0;0;2734518
647;Germany;Female;43;3;12271753;2;1;1;8700039
478;Spain;Female;36;3;923633;2;1;0;449127
726;France;Male;34;9;0;2;0;0;1412161
673;France;Female;43;5;16806973;1;1;1;14699224
765;France;Female;50;9;1265478;1;1;1;7957994
701;France;Male;40;5;16974264;1;1;1;15353755
718;Germany;Male;28;4;656433;1;1;0;2876099
399;Germany;Male;46;2;12765522;1;1;0;13999468
850;France;Female;32;7;0;2;0;0;155227
711;France;Male;51;7;0;3;1;0;3840979
745;Spain;Female;54;8;0;1;1;0;17391229
557;France;Female;28;7;14644524;2;1;0;18431774
667;Germany;Female;39;4;8376535;2;1;0;11835854
771;France;Female;66;7;14377307;1;1;1;13082788
746;France;Male;24;3;13749235;2;0;1;17014209
579;France;Male;36;9;12982959;1;1;1;6090612
519;France;Female;21;1;14632957;2;1;1;19486727
512;France;Male;24;6;0;2;1;0;3765431
588;Germany;Female;40;10;12553451;1;1;0;12150418
693;France;Male;68;4;9770599;1;1;1;6156907
624;Spain;Male;46;3;0;2;1;1;6282503
559;Germany;Female;36;1;10435694;2;0;1;5418406
837;Spain;Male;31;9;10467862;1;0;1;509726
837;Germany;Male;38;2;12673285;1;1;1;7957738
585;Germany;Female;39;7;16561041;2;0;0;13185201
741;Spain;Male;25;4;0;2;1;1;7387365
698;Spain;Female;39;9;16199389;1;0;0;9021238
653;Spain;Male;55;2;7026383;1;0;1;6234771
428;France;Female;31;2;0;2;1;0;5448743
542;France;Male;38;8;6594226;1;1;1;6809323
687;France;Female;47;7;0;2;1;1;17762401
781;France;Female;38;3;12834569;2;1;0;6321885
778;France;Male;38;3;14501849;2;1;1;12670241
539;Germany;Female;38;8;8240751;1;1;0;1312341
489;Germany;Male;28;1;7946098;2;1;1;16797363
625;France;Male;52;5;16497801;1;1;1;6778849
568;Spain;Female;26;6;0;2;0;0;1664952
643;France;Male;30;5;9444377;1;1;1;1656144
648;France;Female;54;9;12063342;1;0;0;592438
535;Germany;Male;48;5;13454273;1;1;1;5820367
611;Spain;Male;52;7;0;1;0;1;7358518
431;France;Male;37;0;12076408;1;1;1;11702308
555;Germany;Male;41;10;1132702;2;1;1;18538714
625;France;Male;43;8;20169607;1;1;0;1330209
645;Spain;Female;37;7;0;2;1;0;1358993
632;France;Male;44;3;10776475;1;1;0;18566772
715;Spain;Female;35;4;4016988;2;1;1;19985747
668;Germany;Female;32;10;9204187;1;1;1;435959
661;Spain;Female;42;3;0;2;1;0;3598941
716;France;Female;35;8;11280818;1;0;1;178483
627;France;Female;55;2;15944127;1;1;0;10068611
636;Spain;Female;33;0;0;1;1;0;9227747
693;France;Female;38;3;0;2;0;0;7813348
739;France;Female;27;6;0;1;1;1;5757238
721;France;Male;69;2;10842419;1;1;1;17841835
523;France;Female;73;7;0;2;0;0;1308839
503;Germany;Male;30;10;13662255;2;0;0;4731024
485;Germany;Female;30;5;15677168;1;1;1;14114821
585;Spain;Female;33;8;0;2;1;0;11418207
657;Germany;Male;30;1;13976213;2;1;1;2331788
550;France;Male;57;5;0;1;1;1;13350194
667;France;Male;48;2;0;1;1;0;432292
755;France;Male;62;1;12770633;2;0;1;14237769
552;France;Female;41;9;12434934;1;1;0;13563525
576;Germany;Male;28;1;11933629;2;0;1;5897685
556;France;Female;43;6;0;3;0;0;12515457
583;France;Female;38;10;0;2;0;1;11359764
705;France;Female;24;7;10016951;1;1;0;12140855
637;France;Male;33;2;14573183;1;0;1;10921943
697;Spain;Male;56;5;11080203;1;1;1;5023031
594;Germany;Female;26;6;13506752;2;0;0;13121186
616;Germany;Female;41;1;10356057;1;1;0;23645
633;France;Female;29;7;16998835;1;1;0;4272
819;Germany;Female;49;1;12065686;4;0;0;1661643
755;Germany;Female;30;6;15422137;2;0;1;6268855
756;France;Female;26;5;10164114;2;0;1;15446068
574;France;Male;26;8;974601;1;1;1;4309367
850;France;Male;36;1;10407719;2;0;1;68594
475;France;Female;46;10;0;2;0;0;122953
642;France;Female;39;4;0;1;1;1;7682124
680;Spain;Female;30;3;0;1;1;0;16013158
631;France;Male;35;9;11239245;2;1;0;2447223
747;France;Male;27;10;0;2;0;0;1300789
549;Germany;Female;43;3;13498566;1;1;0;610141
575;Spain;Female;37;0;0;2;0;0;3011432
507;Spain;Female;29;6;0;2;0;1;947809
787;France;Female;35;1;1062668;1;1;1;1660715
569;Spain;Female;41;4;13984036;1;1;1;1635247
600;France;Female;28;6;0;2;0;1;5219323
661;Germany;Female;32;1;14598023;1;0;1;5663628
764;Spain;Female;33;9;16896477;1;0;1;11898251
838;France;Female;34;8;0;2;1;0;2747207
656;Spain;Male;69;6;16397509;1;1;1;361085
520;Spain;Male;43;7;0;2;1;1;3620274
701;Germany;Female;48;1;9207268;1;1;1;13399236
653;Spain;Female;30;2;8824329;2;1;1;9665826
730;Spain;Female;52;7;0;2;0;1;12239884
628;France;Male;34;4;15874143;2;1;1;12619254
658;France;Female;40;7;14059695;1;0;1;13545902
850;Spain;Female;29;10;0;2;1;1;9481504
632;Germany;Male;42;4;1196246;2;1;1;19597886
694;Germany;Male;31;6;10905259;2;1;1;1944893
773;Germany;Female;42;8;15232466;2;1;0;17173322
651;Germany;Female;42;1;11664676;1;1;0;447318
717;Spain;Female;49;1;11086438;2;1;1;1245329
716;France;Female;44;3;10952828;1;1;0;2734163
715;France;Male;28;7;16037661;1;0;0;19685311
618;Germany;Male;41;8;3770279;1;1;1;19577548
721;France;Female;35;6;11827383;1;0;1;308689
445;Germany;Female;34;7;13108217;2;1;1;70618
690;France;Male;38;1;94456;2;0;1;5503402
592;France;Female;37;7;0;2;1;1;12672633
632;Spain;Female;39;5;9785437;2;1;0;9353638
677;France;Male;38;4;0;2;1;0;18780063
771;France;Male;32;5;6232162;1;1;1;4092059
670;France;Female;42;1;11596158;2;0;1;2948387
571;France;Female;42;4;10882534;3;1;0;5555851
576;Germany;Female;36;8;16628785;1;1;1;2330585
566;Germany;Female;40;2;9700136;2;1;0;15448601
697;France;Male;27;8;14122368;2;1;0;9059115
712;Germany;Male;43;1;14174974;2;0;1;9090526
689;Spain;Male;38;5;7507514;1;1;1;865192
680;France;Male;44;3;0;2;1;0;8693508
680;France;Male;32;5;9296161;1;1;0;1169576
657;Germany;Male;57;8;10717458;1;1;1;12636955
350;Spain;Male;54;1;15267748;1;1;1;19197349
617;France;Male;30;3;13200577;1;1;0;14294039
705;Spain;Female;23;5;0;2;1;1;7313173
626;Spain;Male;62;3;0;1;1;1;6501074
631;France;Female;34;4;12437914;1;1;0;10689291
698;Germany;Female;40;8;1507771;1;1;0;11473262
731;Spain;Male;41;4;0;2;1;0;2229927
625;France;Male;34;6;0;2;0;0;1972832
500;France;Male;56;1;10037458;1;1;0;1184908
446;France;Male;32;8;0;2;0;0;13329294
581;Germany;Male;31;6;11689172;1;1;0;1071373
748;France;Male;44;2;9291152;1;0;1;8549524
655;France;Female;37;7;11185284;2;1;0;1051113
695;Germany;Male;40;7;13902224;1;0;1;19338313
773;France;Male;52;4;0;1;0;1;14411342
606;Spain;Female;46;8;0;2;1;1;18371794
784;Spain;Female;40;8;0;2;1;0;1088913
711;France;Male;52;5;0;1;1;1;15980895
613;Germany;Female;20;0;11735619;1;0;0;1135577
850;Spain;Male;37;4;13720477;1;1;1;2886559
595;Spain;Male;35;8;0;1;1;0;10001579
541;France;Male;37;9;11863692;1;1;1;7355144
828;Spain;Male;28;8;13476685;1;1;0;7935587
850;Germany;Male;30;5;12321056;2;1;1;10218027
634;France;Male;44;9;14996111;1;1;0;5712151
707;Spain;Female;35;3;5667448;1;1;0;179874
760;Spain;Female;57;1;0;2;1;1;2510117
585;France;Female;39;7;0;2;1;0;240126
595;Spain;Female;30;5;10068354;1;1;1;17836104
735;France;Male;49;5;12197328;1;1;0;14880436
796;Spain;Male;41;8;10752507;1;1;0;1851041
715;France;Male;23;7;13922492;2;1;0;6505771
747;France;Female;25;4;0;2;0;1;4203967
674;Germany;Male;34;2;1527979;1;1;0;1757094
552;France;Male;42;9;13370107;2;1;0;10106971
541;France;Male;29;7;12750457;1;0;0;8617392
744;Germany;Female;41;2;8411341;1;1;0;19754863
636;France;Female;34;3;0;2;1;1;4475625
814;France;Female;48;7;0;2;1;1;13287015
760;Spain;Male;28;1;14103857;2;0;0;1628738
658;France;Male;36;8;17406046;1;1;1;9492562
439;France;Female;43;8;0;1;0;1;1048893
683;Germany;Female;35;5;9569879;1;0;1;18256676
683;Spain;Female;24;8;985671;1;1;0;18798701
577;France;Female;26;1;18053051;1;0;0;12345462
552;France;Male;33;5;14093157;1;0;1;109215
691;France;Male;38;7;0;2;0;0;816174
818;France;Female;49;2;0;1;0;1;19229884
639;France;Female;50;6;11533532;2;1;1;5313041
779;France;Female;26;0;0;2;0;1;111906
510;France;Male;32;9;10332478;1;1;1;461277
633;Spain;Male;32;5;16334012;2;1;1;744152
798;France;Female;37;4;11172308;1;1;1;8347812
770;Germany;Male;45;4;11076568;1;1;0;2616374
569;Germany;Male;25;9;17345945;2;1;1;4438106
620;France;Male;22;0;0;1;1;0;3258945
561;France;Male;56;7;152759;2;1;0;13316711
745;Spain;Female;35;8;0;2;1;1;1165811
667;France;Female;48;2;0;2;1;1;14860839
581;Spain;Female;29;8;0;2;1;0;4673519
705;France;Male;61;4;0;2;1;1;1913137
565;Germany;Female;38;2;15865129;2;1;1;17944528
481;France;Male;44;9;17530306;1;1;0;6550053
659;Germany;Female;39;1;10450211;1;1;0;2065269
529;Spain;Male;35;5;9577297;1;1;1;1127815
640;Germany;Male;39;9;13160728;4;0;1;698143
648;Spain;Male;35;7;0;2;1;1;7843636
579;France;Male;31;9;0;1;0;1;139048
790;Germany;Male;24;7;10741827;1;0;1;16045021
563;Spain;Male;32;6;0;2;1;1;1972008
667;Spain;Male;39;7;16755712;1;1;1;4118302
613;Spain;Male;34;8;11730002;1;1;0;13941008
731;France;Male;33;4;0;2;1;1;7494511
584;France;Female;37;1;0;2;1;1;18036356
535;Spain;Female;49;7;11530975;1;1;0;11142177
670;Spain;Female;32;3;0;2;1;0;461757
617;Spain;Male;42;0;7010587;1;1;1;12083073
428;Germany;Female;40;3;12924811;2;1;0;7287643
591;France;Female;31;7;0;2;0;1;4877846
625;France;Male;36;9;10854616;3;1;0;13380777
804;France;Male;24;3;0;2;1;0;17319533
666;Germany;Male;74;7;1051025;1;1;1;4617247
726;Germany;Male;30;5;11137532;2;1;0;270409
684;France;Male;45;6;14807139;1;1;0;18357501
783;Spain;Male;39;9;0;2;1;0;14375277
688;France;Male;52;1;0;2;1;1;17203357
680;Spain;Male;35;9;0;2;0;0;14377406
604;France;Male;53;8;14445375;1;1;0;19099896
655;Spain;Female;36;1;13551576;1;1;0;8601396
578;Germany;Male;34;8;14748723;2;1;0;6668077
488;Spain;Female;39;9;14055346;1;0;0;1244044
717;France;Female;36;5;0;2;1;1;1455516
644;France;Male;33;8;0;2;1;1;15529417
476;Spain;Female;69;1;10530373;1;0;1;13426034
719;Spain;Female;47;9;11639359;1;1;0;6305132
695;Spain;Male;28;0;9602086;1;1;1;5799249
661;France;Female;27;3;0;2;1;1;7688979
632;France;Male;41;0;10613446;1;0;1;10557039
705;Germany;Female;43;10;14654778;1;0;1;1007255
729;Germany;Male;46;5;11783743;1;1;0;10401661
556;Spain;Female;48;8;16852237;1;1;1;15131016
841;France;Male;74;9;10813153;1;0;1;6083038
696;France;Male;28;4;17264682;1;1;1;11647143
634;France;Male;45;9;0;2;0;0;1762282
765;France;Male;51;3;1233723;1;1;1;11542932
668;Spain;Female;24;7;17396232;1;0;0;10645711
720;France;Female;45;1;1028824;2;1;1;3563315
689;Germany;Male;26;4;12072797;1;0;1;14907388
707;France;Male;47;3;0;2;1;0;17430329
581;Spain;Female;50;4;0;2;1;1;8070172
445;Germany;Female;38;6;11941362;2;1;0;17575636
626;France;Male;33;8;0;2;1;0;13850428
545;Germany;Male;37;9;11048386;1;1;1;12739467
744;France;Male;31;9;12071828;1;1;1;5896149
658;Spain;Female;31;2;3656696;1;1;0;10364498
743;France;Male;36;4;0;2;1;1;19091102
654;France;Male;40;6;0;1;0;0;18387288
569;Spain;Female;34;6;14485534;1;0;0;19655532
811;Spain;Male;39;7;0;2;1;1;17751939
423;France;Female;36;5;9766561;1;1;0;11837255
661;France;Female;37;5;13642518;1;1;0;8110281
655;Spain;Male;38;3;25089809;3;0;1;81054
531;Spain;Male;70;1;0;2;0;0;9950319
611;Germany;Female;40;7;12848691;2;1;0;1010947
601;France;Female;43;2;0;1;1;0;4971387
759;France;Male;40;4;0;2;1;0;12461559
492;France;Female;31;7;0;2;1;1;4946344
593;Germany;Male;74;5;16143436;2;1;1;6553217
722;Germany;Female;48;10;13831176;1;1;1;347263
701;France;Male;44;7;0;2;1;0;2342578
683;France;Male;31;2;0;2;0;1;7732678
690;France;Male;29;5;0;2;1;0;10857797
618;Germany;Female;54;4;11844921;1;1;1;13357329
704;France;Female;45;6;0;1;1;1;13773945
609;Spain;Female;43;6;8605352;2;1;1;11327646
713;France;Male;44;1;6343891;1;1;0;643754
718;Spain;Male;45;3;10526632;2;1;1;19372451
634;Spain;Male;34;1;0;2;1;0;6199557
633;Spain;Male;33;4;13784741;2;1;0;9834913
630;Spain;Male;26;7;0;2;1;1;665664
668;France;Male;38;10;8697796;1;0;1;3709475
